name,username,party,text,datetime,n_comments,n_retweets,n_quotes,n_hearts
J.D. Vance,JDVance,Republican,Our border czar Kamala Harris opened up the border by design. Now real people are suffering.,1722519660,"54,039","23,856","1,114","109,749"
J.D. Vance,JDVance,Republican,"REPORTER: The two astronauts that you just helped save from space, they didn't get any overtime pay...

@POTUS: ""If I have to, I'll pay it out of my own pocket... and I want to thank @elonmusk by the way because think if we don't have him.""",1722517320,"1,719",JD Vance retweeted,378,"63,685"
J.D. Vance,JDVance,Republican,"Well said.

Excellence saves lives.",1742562780,"2,303","9,207",137,"76,534"
J.D. Vance,JDVance,Republican,"I met Tony a few times in the hallway of the West Wing. He was extremely kind, and I had no idea he coined the phrase ""evil empire.""

May he rest in peace. 

catholicvote.org/writer-of-r…",1742394420,492,"9,729",48,"7,424"
J.D. Vance,JDVance,Republican,"Sometimes when I need a little boost, I look at the @JDVance portrait in the @WhiteHouse and thank the Lord 🙏",1742340180,"27,889",664,"3,110","347,758"
J.D. Vance,JDVance,Republican,This is extremely cool,1742382540,"3,913",JD Vance retweeted,408,"210,061"
J.D. Vance,JDVance,Republican,"President Trump has secured an energy and infrastructure ceasefire in the Russia/Ukraine War -- the first deescalation in three years, paving the way for a full ceasefire and permanent peace. He also secured Russian cooperation on Iran/Middle East. Extraordinary accomplishments.",1742354820,"3,738","39,886",373,"27,902"
J.D. Vance,JDVance,Republican,"🚨 THIS IS A MASTERCLASS: VP JD Vance just absolutely excoriated the whole premise behind globalism.

Future of the Republican Party right here. He says the solution to globalists' hunger for cheap labor in other countries is to bring back American innovation. He is RIGHT.

""Because there were two conceits that our leadership class had when it came to globalization. The first is assuming that we can separate the making of things from the design of things. The idea of globalization was that rich countries would move further up the value chain while the poor countries made the simpler things.""

""It turns out that the geographies that do the manufacturing get awfully good at the designing of things. There are network effects as you all well understand. The firms that design products work with firms that manufacture.""

""They share intellectual property. They share best practices, and they even sometimes share critical employees. Now we assume that other nations would always trail us in the value chain, but it turns out that as they got better at the low end of the value chain, they also started catching up on the higher end. We were squeezed from both ends. Now that was the first conceit of globalization.""

""I think the second is that cheap labor is fundamentally a crutch, and it's a crutch that inhibits innovation. I might even say that it's a drug that too many American firms got addicted to. Now if you can make a product more cheaply, it's far too easy to do that rather than to innovate.""

""And whether we were offshoring factories to cheap labor economies or importing cheap labor through our immigration system - cheap labor became the drug of Western economies.""

""And I'd say that if you look in nearly every country from Canada to the UK that imported large amounts of cheap labor, you've seen productivity stagnate. And I don't think that that's not a total happenstance. I think that the connection is very direct.""

""Now one of the debates you hear on the minimum wage, for instance, is that increases in the minimum wage force firms to automate. So a higher wage at McDonald's means more kiosks. And whatever your views on the wisdom of the minimum wage, I'm not gonna comment on that here. Companies innovating in the absence of cheap labor is a good thing.""

""I think most of you are not worried about getting cheaper and cheaper labor. You're worried about innovating, about building new things, about the old formulation of technology is doing more with less. You guys are all trying to do more with less every single day.""

""And so I I'd ask my friends, both on the the tech optimist side and on the populist side, not to see the failure of the logic of globalization as a failure of innovation. Indeed, I'd say that globalization's hunger for cheap labor is is a problem precisely because it's been bad for innovation.""

""Both our working people, our populace, and our innovators gathered here today have the same enemy, and the solution, I believe, is American innovation.""",1742343360,692,"15,676",295,"21,457"
J.D. Vance,JDVance,Republican,"The Trump plan for the great American comeback is simple: We want companies to invest right here in America—in our own workers and factories.

That means cutting taxes, slashing regulations, and unleashing energy so we can become the industrial powerhouse of the next century.",1742327640,"4,236",JD Vance retweeted,434,"58,840"
J.D. Vance,JDVance,Republican,A great interview.,1742325540,"1,701","5,072",143,"37,227"
